Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG-90,npxG-90,xAG-90,npxG+xAG-90,PrgC-90,PrgP-90,PrgR-90,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK-90,xG-90,xAG-90,xG+xAG-90,npxG-90,npxG+xAG-90,Matches
1,Friederike Abt,de GER,GK,Leverkusen,30,1994,20,20,"1,800",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Adriana Achci?ska,pl POL,MF,Köln,22,2002,22,22,"1,876",20.8,2,0,2,2,0,1,4,0,2.3,1.4,1.4,2.9,12,69,16,0.1,0,0.1,0.1,0.1,0.11,0.07,0.18,0.07,0.14,Matches
3,Rebecca Adamczyk,de GER,GK,Freiburg,19,2005,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Anna Aehling,de GER,DF,Eint Frankfurt,23,2001,11,2,339,3.8,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,3,14,4,0,0.27,0.27,0,0.27,0.09,0.02,0.11,0.09,0.11,Matches
5,Sara Agrež,si SVN,DF,Köln,23,2000,10,8,779,8.7,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,7,34,10,0,0,0,0,0,0.07,0.08,0.15,0.07,0.15,Matches
6,Mara Alber,de GER,"FW,MF",Hoffenheim,18,2005,6,1,131,1.5,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,5,4,13,0,0.69,0.69,0,0.69,0.21,0.31,0.52,0.21,0.52,Matches
7,Aline Allmann,de GER,GK,Essen,29,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Lydia Andrade,ch SUI,"DF,MF",RB Leipzig,25,1999,15,9,878,9.8,1,2,3,1,0,0,4,0,2.2,2.2,1.5,3.7,26,21,56,0.1,0.21,0.31,0.1,0.31,0.22,0.16,0.38,0.22,0.38,Matches
9,Nicole Anyomi,de GER,"FW,MF",Eint Frankfurt,24,2000,22,15,"1,323",14.7,14,6,20,14,0,0,0,0,9.6,9.6,3.2,12.8,39,48,124,0.95,0.41,1.36,0.95,1.36,0.65,0.22,0.87,0.65,0.87,Matches
10,Amira Arfaoui,ch SUI,"MF,FW",Werder Bremen,24,1999,20,9,839,9.3,1,1,2,1,0,0,3,0,1,1,0.4,1.4,17,32,42,0.11,0.11,0.21,0.11,0.21,0.11,0.05,0.15,0.11,0.15,Matches
11,Emilía Ásgeirsdóttir,is ISL,"FW,MF",RB Leipzig,19,2005,10,6,557,6.2,2,0,2,2,0,0,0,0,1,1,0.4,1.5,9,10,35,0.32,0,0.32,0.32,0.32,0.17,0.07,0.24,0.17,0.24,Matches
12,Alina Axtmann,de GER,DF,Freiburg,19,2005,14,10,927,10.3,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,6,25,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
13,Lany Bäcker,de GER,MF,Essen,16,2008,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Paulina Bartz,de GER,"MF,FW",Leverkusen,19,2005,3,0,30,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
15,Sharon Beck,il ISR,MF,Werder Bremen,29,1995,3,1,137,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,9,1,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
16,Lineth Beerensteyn,nl NED,"FW,MF",Wolfsburg,27,1996,20,17,"1,514",16.8,17,1,18,17,0,1,2,0,15.2,14.5,1.6,16.1,35,19,113,1.01,0.06,1.07,1.01,1.07,0.9,0.1,1,0.86,0.96,Matches
17,Loreen Bender,de GER,MF,Leverkusen,18,2005,13,11,770,8.6,1,3,4,1,0,0,2,0,1.6,1.6,2.5,4.1,16,21,40,0.12,0.35,0.47,0.12,0.47,0.19,0.29,0.48,0.19,0.48,Matches
18,Maike Berentzen,de GER,FW,Essen,27,1997,10,2,256,2.8,1,0,1,1,0,0,0,0,1,1,0.1,1.2,2,4,20,0.35,0,0.35,0.35,0.35,0.35,0.05,0.41,0.35,0.41,Matches
19,Emilie Bernhardt,de GER,DF,Turbine Potsdam,22,2002,20,20,"1,800",20,0,2,2,0,0,0,7,0,0.3,0.3,0.4,0.8,4,32,4,0,0.1,0.1,0,0.1,0.02,0.02,0.04,0.02,0.04,Matches
20,Jenny Beyer,de GER,FW,Carl-Zeiss Jena,22,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Amina Bibossynova,kz KAZ,"MF,DF",Turbine Potsdam,18,2005,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
22,Alena Bienz,ch SUI,"FW,MF",Köln,21,2003,21,17,"1,429",15.9,1,1,2,1,0,0,3,0,2.7,2.7,0.7,3.5,36,36,87,0.06,0.06,0.13,0.06,0.13,0.17,0.05,0.22,0.17,0.22,Matches
23,Nicole Billa,at AUT,"FW,MF",Köln,28,1996,18,9,792,8.8,3,0,3,2,1,1,0,0,2.7,2,0.6,2.6,4,12,43,0.34,0,0.34,0.23,0.23,0.31,0.07,0.38,0.23,0.3,Matches
24,Luca-Emily Birkholz,de GER,"FW,MF",Carl-Zeiss Jena,20,2003,17,11,"1,003",11.1,2,0,2,2,0,0,1,0,2.5,2.5,0.4,2.9,17,8,46,0.18,0,0.18,0.18,0.18,0.22,0.03,0.26,0.22,0.26,Matches
25,Rebecka Blomqvist,se SWE,"FW,MF",Wolfsburg,27,1997,16,1,353,3.9,1,0,1,1,0,0,1,0,2.8,2.8,1.5,4.4,13,26,43,0.25,0,0.25,0.25,0.25,0.72,0.39,1.12,0.72,1.12,Matches
26,Tessa Blumenberg,de GER,"FW,MF",Freiburg,19,2005,11,4,367,4.1,2,0,2,2,0,0,1,0,0.7,0.7,0.6,1.3,8,12,19,0.49,0,0.49,0.49,0.49,0.18,0.15,0.33,0.18,0.33,Matches
27,Delice Boboy,de GER,"FW,MF",Leverkusen,17,2006,17,3,566,6.3,4,1,5,4,0,0,1,0,2.4,2.4,1.4,3.8,6,12,41,0.64,0.16,0.8,0.64,0.8,0.38,0.23,0.6,0.38,0.6,Matches
28,Amelie Bohnen,de GER,DF,Köln,22,2001,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Josephine Bonsu,gh GHA,MF,Carl-Zeiss Jena,24,1999,22,20,"1,735",19.3,0,1,1,0,0,0,1,0,0.5,0.5,1.9,2.4,35,42,52,0,0.05,0.05,0,0.05,0.02,0.1,0.12,0.02,0.12,Matches
30,Anneke Borbe,de GER,GK,Wolfsburg,23,2000,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Matches
31,Rafaela Borggräfe,de GER,GK,Freiburg,24,2000,19,19,"1,683",18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
32,Emilie Bragstad,no NOR,"DF,FW",Leverkusen,22,2001,10,1,147,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,4,1,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
33,Jule Brand,de GER,"FW,MF",Wolfsburg,21,2002,19,17,"1,246",13.8,4,4,8,4,0,0,1,0,5.2,5.2,4.5,9.8,54,44,100,0.29,0.29,0.58,0.29,0.58,0.38,0.33,0.7,0.38,0.7,Matches
34,Michaela Brandenburg,de GER,DF,Werder Bremen,26,1997,6,6,382,4.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,4,16,3,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
35,Barbara Brecht,de GER,FW,RB Leipzig,25,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,3.17,3.17,3.17,Matches
36,Klara Bühl,de GER,"FW,MF",Bayern Munich,23,2000,22,20,"1,644",18.3,7,13,20,7,0,0,0,0,5.2,5.2,7.5,12.8,60,36,214,0.38,0.71,1.09,0.38,1.09,0.29,0.41,0.7,0.29,0.7,Matches
37,Eileen Campbell,at AUT,"FW,MF",Freiburg,23,2000,11,7,695,7.7,2,2,4,2,0,0,0,0,1.6,1.6,0.5,2.2,11,27,46,0.26,0.26,0.52,0.26,0.52,0.21,0.07,0.28,0.21,0.28,Matches
38,Arianna Caruso,it ITA,MF,Bayern Munich,24,1999,7,2,211,2.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,5,13,8,0,0,0,0,0,0.11,0.06,0.17,0.11,0.17,Matches
39,Marta Cazalla,es ESP,DF,Hoffenheim,27,1997,22,22,"1,935",21.5,5,2,7,4,1,1,3,0,4.4,3.7,0.9,4.6,15,97,5,0.23,0.09,0.33,0.19,0.28,0.2,0.04,0.25,0.17,0.21,Matches
40,Selina Cerci,de GER,FW,Hoffenheim,24,2000,20,18,"1,558",17.3,16,3,19,16,0,0,0,0,10.5,10.5,2.5,13,38,28,128,0.92,0.17,1.1,0.92,1.1,0.61,0.14,0.75,0.61,0.75,Matches
41,Remina Chiba,jp JPN,"FW,MF",Eint Frankfurt,25,1999,21,2,431,4.8,7,1,8,7,0,0,0,0,4.6,4.6,1.7,6.3,13,18,40,1.46,0.21,1.67,1.46,1.67,0.96,0.35,1.31,0.96,1.31,Matches
42,Miray Cin,tr TUR,"FW,MF",Freiburg,23,2001,5,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,2,5,0,0,0,0,0,0.07,1.21,1.27,0.07,1.27,Matches
43,Lotta Cordes,de GER,"DF,MF",Köln,23,2001,9,5,461,5.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0,15,0,0,0,0,0,0,0.08,0.01,0.09,0.08,0.09,Matches
44,Gia Corley,de GER,"MF,FW",Hoffenheim,22,2002,9,8,680,7.6,2,3,5,2,0,0,1,0,1.7,1.7,0.7,2.4,14,22,34,0.26,0.4,0.66,0.26,0.66,0.23,0.09,0.32,0.23,0.32,Matches
45,Jennifer Cramer,de GER,"DF,MF",Turbine Potsdam,31,1993,15,15,"1,255",13.9,0,0,0,0,0,0,8,0,0,0,0.5,0.6,0,14,3,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
46,Michela Croatto,at AUT,"DF,MF",RB Leipzig,22,2002,14,1,326,3.6,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.5,2,12,8,0,0,0,0,0,0.01,0.14,0.15,0.01,0.15,Matches
47,Ida Daedelow,de GER,MF,Leverkusen,16,2007,4,0,51,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
48,Amira Dahl,de GER,"FW,DF",Werder Bremen,18,2006,4,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
49,Lena Dahms,de GER,"MF,DF",Werder Bremen,17,2006,6,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,0,0,0,0,0,0,0,0,0,0,Matches
50,Linda Dallmann,de GER,"FW,MF",Bayern Munich,29,1994,18,9,856,9.5,1,2,3,1,0,0,2,0,1.6,1.6,2.2,3.8,15,37,62,0.11,0.21,0.32,0.11,0.32,0.17,0.23,0.4,0.17,0.4,Matches
51,Jovana Damnjanovi?,rs SRB,"MF,FW",Bayern Munich,29,1994,17,8,692,7.7,2,1,3,2,0,0,4,0,1.8,1.8,1.1,3,19,18,52,0.26,0.13,0.39,0.26,0.39,0.23,0.15,0.38,0.23,0.38,Matches
52,Julia Debitzki,de GER,"MF,DF",Essen,33,1991,8,1,162,1.8,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,2,0,0,0,0,0,0,0,0.24,0,0.24,0.24,0.24,Matches
53,Celina Degen,at AUT,DF,Köln,23,2001,8,3,293,3.3,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,4,9,1,0,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches
54,Amelie Delabre,fr FRA,FW,Köln,23,2000,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,1,0,0,0,0,0,0.13,0.03,0.15,0.13,0.15,Matches
55,Féli Delacauw,be BEL,"MF,FW",Hoffenheim,22,2002,17,6,606,6.7,3,2,5,3,0,0,1,0,2.5,2.5,1,3.5,7,27,40,0.45,0.3,0.74,0.45,0.74,0.38,0.14,0.52,0.38,0.52,Matches
56,Kristin Demann,de GER,MF,Wolfsburg,31,1993,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Laura Dick,de GER,GK,Hoffenheim,21,2003,22,21,"1,956",21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Rieke Dieckmann,de GER,"MF,DF",Werder Bremen,27,1996,21,17,"1,349",15,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.8,11,60,38,0,0,0,0,0,0.04,0.01,0.06,0.04,0.06,Matches
59,Vanessa Diehm,de GER,MF,Hoffenheim,20,2004,17,15,"1,389",15.4,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,5,65,9,0.06,0,0.06,0.06,0.06,0.02,0.02,0.03,0.02,0.03,Matches
60,Caitlin Dijkstra,nl NED,DF,Wolfsburg,25,1999,12,10,927,10.3,1,1,2,1,0,0,0,0,0.7,0.7,0.4,1.1,15,65,7,0.1,0.1,0.19,0.1,0.19,0.07,0.04,0.11,0.07,0.11,Matches
61,Marike Dommasch,de GER,DF,Turbine Potsdam,17,2006,12,2,442,4.9,0,0,0,0,0,0,1,0,0,0,0.1,0.1,4,4,3,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
62,Fabienne Dongus,de GER,MF,Hoffenheim,30,1994,15,7,733,8.1,1,1,2,1,0,0,1,0,1.2,1.2,0.4,1.6,3,37,15,0.12,0.12,0.25,0.12,0.25,0.14,0.05,0.2,0.14,0.2,Matches
63,Laura Donhauser,de GER,"DF,MF",Köln,22,2001,19,10,908,10.1,0,0,0,0,0,0,3,0,0.6,0.6,0.9,1.5,18,20,46,0,0,0,0,0,0.06,0.09,0.15,0.06,0.15,Matches
64,Lisa Doorn,nl NED,DF,Hoffenheim,23,2000,20,20,"1,750",19.4,0,1,1,0,0,0,5,0,0.7,0.7,0.2,0.9,17,94,4,0,0.05,0.05,0,0.05,0.04,0.01,0.05,0.04,0.05,Matches
65,Sara Doorsoun,de GER,DF,Eint Frankfurt,32,1991,18,18,"1,458",16.2,4,0,4,0,4,4,1,0,3.6,0.7,0.1,0.8,17,131,7,0.25,0,0.25,0,0,0.22,0.01,0.23,0.04,0.05,Matches
66,Barbara Dunst,at AUT,MF,Eint Frankfurt,26,1997,10,10,842,9.4,1,5,6,1,0,0,2,0,0.9,0.9,3.1,4,17,58,50,0.11,0.53,0.64,0.11,0.64,0.09,0.33,0.42,0.09,0.42,Matches
67,Leela Egli,ch SUI,FW,Freiburg,17,2006,16,5,504,5.6,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.8,10,18,30,0.18,0,0.18,0.18,0.18,0.04,0.11,0.15,0.04,0.15,Matches
68,Laureta Elmazi,de GER,FW,Essen,21,2003,22,15,"1,400",15.6,2,1,3,2,0,0,1,0,1.9,1.9,1.1,3,38,27,64,0.13,0.06,0.19,0.13,0.19,0.12,0.07,0.19,0.12,0.19,Matches
69,Vivien Endemann,de GER,"FW,MF",Wolfsburg,22,2001,20,13,982,10.9,3,1,4,3,0,0,1,0,3.5,3.5,2.5,6,60,19,140,0.27,0.09,0.37,0.27,0.37,0.32,0.23,0.55,0.32,0.55,Matches
70,Annika Enderle,de GER,"DF,FW",Essen,23,2000,4,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0.63,0.63,0,0.63,Matches
71,Magdalena Eriksson,se SWE,DF,Bayern Munich,30,1993,11,8,702,7.8,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,3,49,3,0.13,0,0.13,0.13,0.13,0.08,0.01,0.09,0.08,0.09,Matches
72,Laura Feiersinger,at AUT,MF,Köln,31,1993,22,21,"1,859",20.7,0,5,5,0,0,0,2,0,1.2,1.2,3,4.2,19,93,55,0,0.24,0.24,0,0.24,0.06,0.14,0.2,0.06,0.2,Matches
73,Meret Felde,de GER,MF,Freiburg,25,1999,16,15,"1,290",14.3,0,2,2,0,0,0,2,0,0.2,0.2,0.6,0.8,13,53,17,0,0.14,0.14,0,0.14,0.01,0.04,0.06,0.01,0.06,Matches
74,Jana Feldkamp,de GER,"MF,DF",Hoffenheim,26,1998,20,14,"1,258",14,0,3,3,0,0,0,2,0,0.4,0.4,2.8,3.2,15,65,26,0,0.21,0.21,0,0.21,0.03,0.2,0.23,0.03,0.23,Matches
75,Bente Fischer,de GER,"MF,DF",Carl-Zeiss Jena,21,2002,3,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,1,0,0,0,0,0,0,0.71,0.71,0,0.71,Matches
76,Vanessa Fischer,de GER,GK,Turbine Potsdam,26,1998,16,16,"1,395",15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Paula Flach,de GER,"DF,MF",Essen,21,2003,16,12,"1,053",11.7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,12,31,17,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
78,Svenja Fölmli,ch SUI,FW,Freiburg,21,2002,11,6,629,7,3,0,3,3,0,0,0,0,3,3,0.2,3.1,11,11,48,0.43,0,0.43,0.43,0.43,0.43,0.02,0.45,0.43,0.45,Matches
79,Laura Freigang,de GER,"MF,FW",Eint Frankfurt,26,1998,22,22,"1,853",20.6,14,5,19,14,0,2,0,0,14.7,13.2,6.3,19.5,41,69,191,0.68,0.24,0.92,0.68,0.92,0.71,0.3,1.02,0.64,0.95,Matches
80,Melissa Friedrich,de GER,DF,Leverkusen,27,1997,5,3,256,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,18,0,0,0,0,0,0,0.05,0.09,0.14,0.05,0.14,Matches
81,Merle Frohms,de GER,GK,Wolfsburg,29,1995,12,12,"1,080",12,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Vanessa Fudalla,de GER,"MF,FW",RB Leipzig,22,2001,22,21,"1,814",20.2,10,3,13,8,2,3,2,0,5.4,3.2,3.6,6.8,37,77,82,0.5,0.15,0.64,0.4,0.55,0.27,0.18,0.45,0.16,0.34,Matches
83,Vanessa Furst,de GER,"DF,MF",Essen,22,2001,22,19,"1,711",19,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,12,71,9,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
84,Fiona Gaißer,de GER,MF,Carl-Zeiss Jena,20,2004,21,21,"1,811",20.1,1,0,1,1,0,0,4,1,1.4,1.4,0.9,2.2,19,39,39,0.05,0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,Matches
85,Noemi Gentile,de GER,"MF,FW",Carl-Zeiss Jena,24,2000,20,10,874,9.7,1,1,2,1,0,0,3,0,2.3,2.3,1,3.2,6,27,17,0.1,0.1,0.21,0.1,0.21,0.23,0.1,0.33,0.23,0.33,Matches
86,Anna Gerhardt,de GER,DF,Köln,26,1998,19,16,"1,413",15.7,1,0,1,1,0,0,3,1,0.4,0.4,1.5,1.9,39,65,49,0.06,0,0.06,0.06,0.06,0.03,0.09,0.12,0.03,0.12,Matches
87,Alina Gnädig,de GER,MF,Turbine Potsdam,18,2006,7,6,562,6.2,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,3,8,7,0,0,0,0,0,0.04,0,0.05,0.04,0.05,Matches
88,Estrella Gonzalez,de GER,DF,Leverkusen,17,2006,22,14,"1,427",15.9,0,1,1,0,0,0,0,0,0.6,0.6,2.4,3,31,65,79,0,0.06,0.06,0,0.06,0.04,0.15,0.19,0.04,0.19,Matches
89,Lisa Gora,de GER,"DF,MF",Carl-Zeiss Jena,20,2004,16,11,948,10.5,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,3,24,10,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
90,Dominika Grabowska,pl POL,"MF,FW",Hoffenheim,25,1998,17,10,908,10.1,2,0,2,2,0,0,0,0,1.1,1.1,1.1,2.2,10,37,32,0.2,0,0.2,0.2,0.2,0.11,0.11,0.22,0.11,0.22,Matches
91,Ruby Grant,eng ENG,MF,Leverkusen,22,2002,11,2,325,3.6,0,1,1,0,0,0,1,0,0.7,0.7,0.5,1.2,5,12,15,0,0.28,0.28,0,0.28,0.2,0.13,0.33,0.2,0.33,Matches
92,Lisanne Gräwe,de GER,MF,Eint Frankfurt,22,2002,20,20,"1,611",17.9,1,3,4,1,0,0,2,1,2,2,1.4,3.4,17,105,51,0.06,0.17,0.22,0.06,0.22,0.11,0.08,0.19,0.11,0.19,Matches
93,Alisa Grincenco,de GER,"MF,DF",Turbine Potsdam,20,2004,16,10,723,8,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,7,11,17,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
94,Maria-Luisa Grohs,de GER,GK,Bayern Munich,23,2001,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Kornelia Grosicka,pl POL,"MF,FW",Turbine Potsdam,25,1999,9,1,275,3.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,Matches
96,Rucy Grunenberg,de GER,"MF,FW",RB Leipzig,17,2006,3,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Alicia-Sophie Gudorf,de GER,"DF,FW",Freiburg,23,2001,20,11,967,10.7,0,0,0,0,0,0,1,0,0.3,0.3,0.7,0.9,17,48,57,0,0,0,0,0,0.02,0.06,0.09,0.02,0.09,Matches
98,Noreen Günnewig,de GER,FW,Freiburg,23,2001,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Ana María Guzmán,co COL,"MF,DF",Bayern Munich,19,2005,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,Matches
100,Giulia Gwinn,de GER,DF,Bayern Munich,25,1999,19,18,"1,629",18.1,0,1,1,0,0,0,1,0,2,2,1.3,3.4,24,60,101,0,0.06,0.06,0,0.06,0.11,0.07,0.18,0.11,0.18,Matches
101,Suya Haering,nz NZL,DF,Turbine Potsdam,19,2005,12,10,817,9.1,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,6,10,13,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
102,Chantal Hagel,de GER,MF,Wolfsburg,26,1998,9,1,192,2.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,2,11,12,0,0,0,0,0,0.28,0.08,0.36,0.28,0.36,Matches
