Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,,,,
103,Chiara Hahn,de GER,"DF,MF",Hoffenheim,22,2002,13,3,500,5.6,0,2,2,0,0,0,1,0,0.6,0.6,0.4,1,14,33,28,0,0.36,0.36,0,0.36,0.1,0.07,0.17,0.1,0.17,Matches
104,Maya Hahn,nz NZL,MF,Turbine Potsdam,23,2001,19,13,"1,220",13.6,0,0,0,0,0,0,3,1,0.3,0.3,0.6,0.9,8,34,26,0,0,0,0,0,0.02,0.05,0.06,0.02,0.06,Matches
105,Vanessa Haim,de GER,"FW,MF",Leverkusen,27,1997,4,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
106,Synne Hansen,no NOR,DF,Leverkusen,28,1995,8,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,9,18,24,0,0,0,0,0,0.05,0.17,0.22,0.05,0.22,Matches
107,Tuva Hansen,no NOR,DF,Bayern Munich,26,1997,20,16,"1,449",16.1,0,2,2,0,0,0,1,0,0,0,1.3,1.3,15,76,46,0,0.12,0.12,0,0.12,0,0.08,0.08,0,0.08,Matches
108,Pernille Harder,dk DEN,"FW,MF",Bayern Munich,31,1992,22,21,"1,757",19.5,14,5,19,14,0,0,0,0,10.6,10.6,3.2,13.7,48,58,135,0.72,0.26,0.97,0.72,0.97,0.54,0.16,0.7,0.54,0.7,Matches
109,Franziska Harsch,de GER,MF,Hoffenheim,27,1997,14,10,800,8.9,0,0,0,0,0,0,2,0,1.1,1.1,0.2,1.3,1,31,4,0,0,0,0,0,0.13,0.02,0.15,0.13,0.15,Matches
110,Lina Hausicke,de GER,"MF,DF",Werder Bremen,26,1997,7,5,468,5.2,0,0,0,0,0,0,1,1,0.6,0.6,0,0.6,3,23,12,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
111,Janina Hechler,de GER,DF,Köln,25,1999,16,16,"1,374",15.3,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1,19,47,4,0.07,0,0.07,0.07,0.07,0.05,0.01,0.07,0.05,0.07,Matches
112,Marina Hegering,de GER,DF,Wolfsburg,34,1990,15,14,"1,064",11.8,1,1,2,1,0,0,2,0,1,1,0.6,1.7,14,89,5,0.08,0.08,0.17,0.08,0.17,0.09,0.05,0.14,0.09,0.14,Matches
113,Kathrin Hendrich,de GER,DF,Wolfsburg,32,1992,16,13,"1,096",12.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,16,59,5,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
114,Elvira Herzog,ch SUI,GK,RB Leipzig,24,2000,22,22,"1,980",22,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,Matches
115,Anja Heuschkel,de GER,DF,Carl-Zeiss Jena,26,1997,18,17,"1,520",16.9,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,3,15,0,0,0,0,0,0,0.01,0,0.02,0.01,0.02,Matches
116,Julia Hickelsberger-Füller,at AUT,"FW,MF",Hoffenheim,24,1999,18,9,866,9.6,2,6,8,2,0,0,1,0,2.3,2.3,2.9,5.2,21,34,76,0.21,0.62,0.83,0.21,0.83,0.24,0.3,0.54,0.24,0.54,Matches
117,Jenny Hipp,de GER,MF,RB Leipzig,26,1998,20,15,"1,375",15.3,0,2,2,0,0,0,4,0,1,1,1,1.9,7,51,27,0,0.13,0.13,0,0.13,0.06,0.06,0.13,0.06,0.13,Matches
118,Giovanna Hoffmann,de GER,FW,RB Leipzig,25,1998,21,21,"1,687",18.7,11,5,16,8,3,3,4,0,8.9,6.7,3.3,10,34,34,123,0.59,0.27,0.85,0.43,0.69,0.47,0.17,0.65,0.36,0.53,Matches
119,Amelie Hoppe,de GER,DF,Turbine Potsdam,18,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Paula Hoppe,de GER,GK,Köln,18,2006,9,9,787,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Svenja Huth,de GER,MF,Wolfsburg,33,1991,20,20,"1,695",18.8,1,7,8,1,0,0,3,0,1.8,1.8,4.5,6.3,57,128,109,0.05,0.37,0.42,0.05,0.42,0.1,0.24,0.34,0.1,0.34,Matches
122,Toma Ihlenburg,de GER,DF,Carl-Zeiss Jena,21,2002,22,22,"1,980",22,0,0,0,0,0,0,1,0,1.1,1.1,0,1.1,2,30,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
123,Carlotta Imping,de GER,"DF,MF",Köln,20,2003,10,3,381,4.2,0,1,1,0,0,0,0,0,0,0,0.4,0.4,7,14,8,0,0.24,0.24,0,0.24,0.01,0.09,0.09,0.01,0.09,Matches
124,Ella Inez Peddemors,nl NED,MF,Wolfsburg,21,2002,10,5,534,5.9,1,1,2,1,0,0,0,0,0.9,0.9,0.7,1.6,9,23,25,0.17,0.17,0.34,0.17,0.34,0.14,0.12,0.27,0.14,0.27,Matches
125,Sara It?,jp JPN,MF,Turbine Potsdam,22,2001,17,17,"1,493",16.6,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,34,10,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
126,Sveindís Jane Jónsdóttir,is ISL,"FW,DF",Wolfsburg,23,2001,19,5,789,8.8,2,0,2,2,0,0,3,0,4.3,4.3,1.6,6,27,25,99,0.23,0,0.23,0.23,0.23,0.49,0.19,0.68,0.49,0.68,Matches
127,Jasmin Janning,de GER,GK,Carl-Zeiss Jena,19,2005,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Jill Janssens,be BEL,DF,Hoffenheim,20,2003,19,18,"1,378",15.3,3,0,3,3,0,0,6,0,1.4,1.4,3.4,4.7,47,52,108,0.2,0,0.2,0.2,0.2,0.09,0.22,0.31,0.09,0.31,Matches
129,Isabella Jaron,de GER,FW,Carl-Zeiss Jena,22,2002,9,9,645,7.2,1,2,3,1,0,0,2,0,0.8,0.8,1,1.8,11,14,19,0.14,0.28,0.42,0.14,0.42,0.11,0.13,0.24,0.11,0.24,Matches
130,Emely Joester,de GER,"DF,FW",Essen,20,2004,4,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,Matches
131,Stina Johannes,de GER,GK,Eint Frankfurt,24,2000,22,22,"1,980",22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Lou-Ann Joly,fr FRA,MF,RB Leipzig,22,2002,19,15,"1,182",13.1,0,0,0,0,0,0,2,1,0.2,0.2,0.3,0.4,9,35,10,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
133,Julie Jorde,no NOR,MF,Leverkusen,20,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Nelly Juckel,de GER,"DF,MF",Carl-Zeiss Jena,22,2002,20,18,"1,555",17.3,0,1,1,0,0,0,5,0,0.2,0.2,0.8,1,15,18,12,0,0.06,0.06,0,0.06,0.01,0.05,0.06,0.01,0.06,Matches
135,Merza Julevi?,de GER,MF,Carl-Zeiss Jena,34,1990,22,22,"1,910",21.2,0,1,1,0,0,0,3,0,0.4,0.4,0.8,1.2,2,47,5,0,0.05,0.05,0,0.05,0.02,0.04,0.06,0.02,0.06,Matches
136,Mai Kadowaki,jp JPN,"MF,FW",RB Leipzig,23,2001,8,5,482,5.4,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,8,12,32,0,0,0,0,0,0.06,0.15,0.2,0.06,0.2,Matches
137,Fenna Kalma,nl NED,FW,Wolfsburg,24,1999,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
138,Annie Karich,us USA,"MF,DF",Freiburg,20,2003,21,12,"1,204",13.4,0,1,1,0,0,0,5,0,0.4,0.4,0.1,0.5,5,60,13,0,0.07,0.07,0,0.07,0.03,0.01,0.04,0.03,0.04,Matches
139,Lisa Karl,de GER,DF,Freiburg,27,1997,22,22,"1,979",22,4,1,5,4,0,0,2,0,1.7,1.7,1.2,2.8,34,71,89,0.18,0.05,0.23,0.18,0.23,0.08,0.05,0.13,0.08,0.13,Matches
140,Lisann Kaut,de GER,DF,Hoffenheim,23,2000,17,13,"1,100",12.2,1,1,2,1,0,0,1,0,0.6,0.6,2.5,3.1,22,42,40,0.08,0.08,0.16,0.08,0.16,0.05,0.21,0.26,0.05,0.26,Matches
141,Hasret Kayikci,de GER,FW,Freiburg,32,1991,1,1,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Caroline Kehrer,ca CAN,FW,Leverkusen,27,1997,19,18,"1,340",14.9,5,3,8,5,0,0,5,0,4.3,4.3,1.8,6.1,33,17,107,0.34,0.2,0.54,0.34,0.54,0.29,0.12,0.41,0.29,0.41,Matches
143,Tuana Keles,de GER,"MF,FW",Werder Bremen,21,2003,21,19,"1,708",19,2,5,7,2,0,0,6,0,1.4,1.4,5.1,6.5,50,39,117,0.11,0.26,0.37,0.11,0.37,0.07,0.27,0.34,0.07,0.34,Matches
144,Frederike Kempe,de GER,DF,RB Leipzig,27,1997,11,5,510,5.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,1,11,0,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
145,Samantha Kerr,sct SCO,MF,Bayern Munich,25,1999,8,2,238,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,7,7,0,0,0,0,0,0.02,0.07,0.1,0.02,0.1,Matches
146,Franziska Kett,de GER,"DF,FW",Bayern Munich,19,2004,7,1,199,2.2,0,0,0,0,0,0,0,0,0,0,0,0.1,7,13,12,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
147,Justine Kielland,no NOR,MF,Wolfsburg,21,2002,10,4,407,4.5,1,3,4,1,0,0,0,0,0.2,0.2,1.4,1.6,5,38,16,0.22,0.66,0.88,0.22,0.88,0.04,0.31,0.36,0.04,0.36,Matches
148,Jacqueline Klasen,de GER,DF,Essen,30,1994,16,16,"1,369",15.2,0,1,1,0,0,0,0,0,1.2,1.2,0.4,1.7,16,45,15,0,0.07,0.07,0,0.07,0.08,0.03,0.11,0.08,0.11,Matches
149,Sophia Kleinherne,de GER,DF,Eint Frankfurt,24,2000,20,19,"1,680",18.7,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,18,130,5,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
150,Kristin Kögel,de GER,MF,Leverkusen,24,1999,21,21,"1,756",19.5,5,4,9,5,0,0,3,0,4.4,4.4,3.5,7.9,20,77,87,0.26,0.21,0.46,0.26,0.46,0.23,0.18,0.41,0.23,0.41,Matches
151,Lisa Kolb,at AUT,"FW,MF",Freiburg,23,2001,8,4,380,4.2,0,0,0,0,0,0,0,0,0.5,0.5,1,1.4,17,12,33,0,0,0,0,0,0.11,0.23,0.34,0.11,0.34,Matches
152,Leonie Köpp,de GER,"FW,MF",Essen,17,2007,6,0,55,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,2,3,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
153,Melissa Kössler,de GER,FW,Hoffenheim,24,2000,17,14,"1,252",13.9,4,2,6,4,0,0,3,0,5.8,5.8,3.1,8.9,19,38,99,0.29,0.14,0.43,0.29,0.43,0.42,0.22,0.64,0.42,0.64,Matches
154,Natasha Kowalski,de GER,MF,Essen,21,2003,21,18,"1,566",17.4,6,4,10,1,5,5,2,0,4.7,1.1,4.3,5.4,18,59,53,0.34,0.23,0.57,0.06,0.29,0.27,0.25,0.52,0.06,0.31,Matches
155,Cornelia Kramer,dk DEN,FW,Leverkusen,21,2002,22,21,"1,826",20.3,12,2,14,9,3,3,1,0,11,8.8,3.8,12.7,28,47,137,0.59,0.1,0.69,0.44,0.54,0.54,0.19,0.73,0.44,0.63,Matches
156,Caroline Krawczyk,de GER,"MF,DF",Turbine Potsdam,26,1997,14,14,"1,067",11.9,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,10,17,9,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03,Matches
157,Leonie Kreil,de GER,MF,Carl-Zeiss Jena,26,1997,3,3,265,2.9,1,0,1,1,0,0,0,0,0.8,0.8,0,0.8,3,6,13,0.34,0,0.34,0.34,0.34,0.28,0.01,0.29,0.28,0.29,Matches
158,Valentina Kröll,at AUT,MF,Essen,21,2002,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Victoria Krug,de GER,DF,RB Leipzig,26,1998,21,21,"1,748",19.4,0,1,1,0,0,0,2,0,0.3,0.3,0.7,1,10,75,16,0,0.05,0.05,0,0.05,0.02,0.03,0.05,0.02,0.05,Matches
160,Irena Kuznezov,il ISR,DF,Turbine Potsdam,22,2002,14,12,856,9.5,1,0,1,1,0,0,3,0,0.3,0.3,0.2,0.5,6,13,5,0.11,0,0.11,0.11,0.11,0.03,0.02,0.05,0.03,0.05,Matches
161,Julia Landenberger,de GER,DF,RB Leipzig,20,2003,19,19,"1,687",18.7,1,1,2,1,0,0,2,0,0.6,0.6,0.3,0.9,17,76,6,0.05,0.05,0.11,0.05,0.11,0.03,0.02,0.05,0.03,0.05,Matches
162,Lena Lattwein,de GER,MF,Wolfsburg,24,2000,19,17,"1,339",14.9,5,1,6,3,2,2,4,0,3.8,2.3,1.7,4.1,11,79,42,0.34,0.07,0.4,0.2,0.27,0.26,0.12,0.37,0.16,0.27,Matches
163,Karólína Lea Vilhjálmsdóttir,is ISL,"MF,FW",Leverkusen,22,2001,22,14,"1,183",13.1,2,5,7,2,0,0,0,0,2.1,2.1,4.3,6.4,18,53,46,0.15,0.38,0.53,0.15,0.53,0.16,0.33,0.49,0.16,0.49,Matches
164,Hannah Lehmann,de GER,"FW,MF",Carl-Zeiss Jena,20,2004,6,0,93,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,3,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
165,Vanessa Leimenstoll,de GER,"FW,MF",Köln,23,2001,19,12,"1,042",11.6,2,1,3,2,0,0,3,0,3.3,3.3,0.4,3.7,15,18,77,0.17,0.09,0.26,0.17,0.26,0.29,0.03,0.32,0.29,0.32,Matches
166,Emily Lemke,de GER,FW,Turbine Potsdam,18,2005,6,0,130,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,1,0,0,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
167,Lesley Lergenmüller,de GER,GK,Turbine Potsdam,19,2005,2,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Janou Levels,nl NED,DF,Leverkusen,23,2000,19,19,"1,602",17.8,1,5,6,1,0,0,5,1,2.5,2.5,2.5,5,63,66,114,0.06,0.28,0.34,0.06,0.34,0.14,0.14,0.28,0.14,0.28,Matches
169,Valentina Limani,xk KVX,"FW,MF",Turbine Potsdam,27,1997,17,9,870,9.7,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,15,9,31,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Matches
170,Sarai Linder,de GER,"DF,MF",Wolfsburg,24,1999,18,16,"1,288",14.3,1,2,3,1,0,0,1,0,1,1,1.5,2.5,35,66,71,0.07,0.14,0.21,0.07,0.21,0.07,0.11,0.18,0.07,0.18,Matches
171,Laura Lindner,de GER,"FW,MF",Turbine Potsdam,30,1994,18,11,879,9.8,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,5,7,19,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
172,Sydney Lohmann,de GER,"MF,FW",Bayern Munich,24,2000,17,11,912,10.1,2,4,6,2,0,0,1,0,1.7,1.7,3,4.7,14,41,38,0.2,0.39,0.59,0.2,0.59,0.16,0.3,0.46,0.16,0.46,Matches
173,Nina Lührßen,de GER,DF,Eint Frankfurt,24,1999,20,17,"1,496",16.6,0,5,5,0,0,0,2,0,0.7,0.7,5.4,6.2,39,105,95,0,0.3,0.3,0,0.3,0.04,0.33,0.37,0.04,0.37,Matches
174,Flavia Luscher,ch SUI,DF,Turbine Potsdam,20,2003,10,4,461,5.1,0,0,0,0,0,0,1,1,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
175,Julia Magerl,at AUT,DF,RB Leipzig,21,2003,20,19,"1,593",17.7,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.3,8,41,1,0,0.06,0.06,0,0.06,0,0.01,0.02,0,0.02,Matches
176,Amani Mahmoud,de GER,"FW,MF",Werder Bremen,18,2005,3,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,1,4,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
177,Ena Mahmutovic,de GER,GK,Bayern Munich,20,2003,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Ramona Maier,de GER,FW,Essen,28,1995,22,20,"1,819",20.2,3,1,4,3,0,0,1,0,5.6,5.6,2,7.7,30,22,113,0.15,0.05,0.2,0.15,0.2,0.28,0.1,0.38,0.28,0.38,Matches
179,Anna Margraf,au AUS,"FW,MF",Carl-Zeiss Jena,23,2001,13,3,447,5,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.8,7,6,17,0,0,0,0,0,0.11,0.05,0.16,0.11,0.16,Matches
180,Luca Maria Graf,de GER,"MF,FW",RB Leipzig,25,1999,4,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,2,1,0,0,0,0,0,0,0.77,0.77,0,0.77,Matches
181,Lara Marti,ch SUI,"DF,MF",RB Leipzig,24,1999,18,11,891,9.9,0,0,0,0,0,0,3,0,0.7,0.7,0.1,0.8,15,26,49,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08,Matches
182,Shekiera Martinez,de GER,FW,Freiburg,23,2001,11,8,742,8.2,5,2,7,5,0,0,1,0,4.5,4.5,0.7,5.2,20,21,57,0.61,0.24,0.85,0.61,0.85,0.55,0.09,0.64,0.55,0.64,Matches
183,Saskia Matheis,de GER,"DF,MF",Werder Bremen,27,1997,12,9,779,8.7,1,2,3,1,0,0,0,0,0.5,0.5,0.5,1,16,21,29,0.12,0.23,0.35,0.12,0.35,0.05,0.06,0.12,0.05,0.12,Matches
184,Sylwia Matysik,pl POL,DF,Köln,27,1997,15,13,"1,103",12.3,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.3,18,51,36,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1,Matches
185,Ereleta Memeti,xk KVX,"MF,FW",Hoffenheim,25,1999,20,20,"1,479",16.4,6,5,11,6,0,0,1,0,4.3,4.3,4.8,9.1,44,57,102,0.37,0.3,0.67,0.37,0.67,0.26,0.29,0.55,0.26,0.55,Matches
186,Shen Menglu,cn CHN,"DF,MF",Leverkusen,22,2002,9,3,251,2.8,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,3,7,12,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
187,Hannah Mesch,de GER,"FW,MF",Carl-Zeiss Jena,19,2004,8,0,92,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,2,5,0,0,0,0,0,0.36,0.04,0.4,0.36,0.4,Matches
188,Anika Metzner,de GER,"DF,FW",Carl-Zeiss Jena,23,2001,12,0,118,1.3,0,0,0,0,0,0,1,0,0,0,0,0,2,3,5,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
189,Julia Mickenhagen,de GER,"DF,MF",Leverkusen,19,2005,6,0,133,1.5,1,1,2,1,0,0,3,1,0.1,0.1,0.2,0.3,2,5,7,0.68,0.68,1.35,0.68,1.35,0.04,0.16,0.2,0.04,0.2,Matches
190,Aurora Mikalsen,no NOR,GK,Köln,28,1996,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Janina Minge,de GER,"DF,MF",Wolfsburg,25,1999,21,20,"1,758",19.5,4,2,6,3,1,1,0,0,2.6,1.9,1.7,3.6,14,131,15,0.2,0.1,0.31,0.15,0.26,0.13,0.09,0.22,0.1,0.19,Matches
192,Adrijana Mori,si SVN,"MF,FW",Turbine Potsdam,23,2000,3,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Larissa Mühlhaus,de GER,FW,Werder Bremen,21,2003,21,20,"1,701",18.9,10,1,11,8,2,2,3,0,6.5,5,2.5,7.5,28,61,96,0.53,0.05,0.58,0.42,0.48,0.34,0.13,0.47,0.26,0.4,Matches
194,Marlene Müller,de GER,"DF,MF",RB Leipzig,23,2000,22,21,"1,833",20.4,1,2,3,1,0,0,3,0,1.3,1.3,1.6,3,35,64,103,0.05,0.1,0.15,0.05,0.15,0.07,0.08,0.15,0.07,0.15,Matches
195,Gwendolyn Mummert,de GER,DF,Carl-Zeiss Jena,25,1999,13,11,"1,032",11.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,6,5,0,0,0,0,0,0,0,0.01,0,0.01,Matches
196,Sophie Nachtigall,de GER,"FW,MF",Eint Frankfurt,20,2004,7,0,60,0.7,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,2,5,9,0,1.5,1.5,0,1.5,0.15,1.02,1.17,0.15,1.17,Matches
197,Shahar Nakav,il ISR,DF,Turbine Potsdam,27,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,Matches
198,Diána Németh,hu HUN,"DF,MF",Wolfsburg,19,2004,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
199,Hanna Németh,hu HUN,DF,Werder Bremen,25,1998,18,16,"1,381",15.3,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.6,5,46,6,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
200,Sofija ?esterova,lv LVA,GK,Werder Bremen,22,2001,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
201,Lena Nuding,de GER,GK,Freiburg,31,1993,2,1,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
202,Nicole Ojukwu,at AUT,MF,Freiburg,18,2005,16,8,657,7.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,1,21,9,0,0.14,0.14,0,0.14,0.02,0.05,0.07,0.02,0.07,Matches
203,Josefine Osigus,de GER,GK,Köln,19,2004,6,5,473,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Lena Ostermeier,de GER,DF,Essen,27,1996,15,14,"1,239",13.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,16,49,8,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
